,log_id,timestamp,epoch,metric_key,metric_val
79,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:44:50,923",9,Train-Acc-Tgt,0.098625
80,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:44:51,537",9,Eval-Acc-Tgt,0.178874
81,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:44:55,239",10,Train-XEnt-Src,nan
82,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:44:55,239",10,Train-Aux-Src,0.977250
83,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:44:55,239",10,Train-Total-Src,nan
84,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:44:55,239",10,Train-Acc-Src,0.098625
85,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:44:55,240",10,Train-XEnt-Tgt,nan
86,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:44:55,240",10,Train-Aux-Tgt,0.974750
87,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:44:55,240",10,Train-Total-Tgt,nan
88,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:44:55,240",10,Train-Acc-Tgt,0.098625
89,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:44:55,857",10,Eval-Acc-Tgt,0.178874
90,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:44:59,560",11,Train-XEnt-Src,nan
91,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:44:59,561",11,Train-Aux-Src,0.983250
92,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:44:59,561",11,Train-Total-Src,nan
93,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:44:59,561",11,Train-Acc-Src,0.098625
94,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:44:59,562",11,Train-XEnt-Tgt,nan
95,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:44:59,562",11,Train-Aux-Tgt,0.981500
96,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:44:59,562",11,Train-Total-Tgt,nan
97,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:44:59,562",11,Train-Acc-Tgt,0.098625
98,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:45:00,180",11,Eval-Acc-Tgt,0.178874
99,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:45:03,891",12,Train-XEnt-Src,nan
100,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:45:03,892",12,Train-Aux-Src,0.983250
101,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:45:03,892",12,Train-Total-Src,nan
102,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:45:03,892",12,Train-Acc-Src,0.098625
103,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:45:03,892",12,Train-XEnt-Tgt,nan
104,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:45:03,893",12,Train-Aux-Tgt,0.977500
105,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:45:03,893",12,Train-Total-Tgt,nan
106,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:45:03,893",12,Train-Acc-Tgt,0.098625
107,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:45:04,511",12,Eval-Acc-Tgt,0.178874
108,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:45:08,211",13,Train-XEnt-Src,nan
109,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:45:08,211",13,Train-Aux-Src,0.978750
110,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:45:08,211",13,Train-Total-Src,nan
111,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:45:08,212",13,Train-Acc-Src,0.098625
112,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:45:08,212",13,Train-XEnt-Tgt,nan
113,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:45:08,212",13,Train-Aux-Tgt,0.981500
114,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:45:08,212",13,Train-Total-Tgt,nan
115,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:45:08,213",13,Train-Acc-Tgt,0.098625
116,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:45:08,828",13,Eval-Acc-Tgt,0.178874
117,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:45:12,532",14,Train-XEnt-Src,nan
118,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:45:12,532",14,Train-Aux-Src,0.973500
119,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:45:12,533",14,Train-Total-Src,nan
120,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:45:12,533",14,Train-Acc-Src,0.098625
121,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:45:12,533",14,Train-XEnt-Tgt,nan
122,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:45:12,533",14,Train-Aux-Tgt,0.978000
123,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:45:12,533",14,Train-Total-Tgt,nan
124,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:45:12,534",14,Train-Acc-Tgt,0.098625
125,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:45:13,145",14,Eval-Acc-Tgt,0.178874
126,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:45:16,841",15,Train-XEnt-Src,nan
127,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:45:16,842",15,Train-Aux-Src,0.976250
128,dsne-s1-0.25_2020-02-21-12-47-48-729900,"2020-02-21 12:45:16,842",15,Train-Total-Src,nan
